_id,company_name,Company Status,year,Current assets,Cost of goods sold,Depreciation and amortization,EBDITDA,Inventory,Net Income,Total Receivable,Market Value,Net Sales,Total Assets,Total Long-term Debt,EBIT,Gross Profit,Total Current Liabilitie,Retained Earnings,Total Revenue,Total Liabilities,Total Operating Expenses
68a9cd4737bac44f68cbd862,C_7936,alive,2007,159.449,2.057,2.422,5.752,0.0,9.208,11.254,486.122,84.862,200.888,0.078,3.33,82.805,21.039,4.005,84.862,25.448,79.11
68a9cd4637bac44f68cb9664,C_5923,alive,2002,71.342,147.677,13.004,21.711,28.876,0.638,24.654,126.5209,196.101,200.092,31.0,8.707,48.424,22.151,33.745,196.101,58.113,174.39
68a9cd4637bac44f68cb5c96,C_4220,alive,2015,63.603,96.55,4.846,18.292,14.202,7.593,18.667,170.0986,138.85,119.95,0.859,13.446,42.3,10.983,80.382,138.85,16.378,120.558
68a9cd4637bac44f68cadeaa,C_716,alive,2003,47.686,76.062,2.992,14.173,8.887,5.752,11.485,121.6845,107.028,82.617,0.0,11.181,30.966,13.008,29.646,107.028,14.712,92.855
68a9cd4637bac44f68cb0a83,C_1661,alive,2000,342.235,216.023,15.551,37.88,100.062,-17.88,98.248,989.6029,386.668,423.283,14.631,22.329,170.645,121.772,56.033,386.668,140.375,348.788
68a9cd4637bac44f68cb57a0,C_4076,alive,2017,2084.9,14510.9,126.1,356.7,1013.3,96.3,1028.5,2762.0844,16761.8,3804.1,1285.9,230.6,2250.9,1383.3,69.0,16761.8,2878.6,16405.1
68a9cd4737bac44f68cbe913,C_8596,alive,2012,71.011,877.433,45.741,148.127,43.985,64.133,6.83,2353.8091,1329.131,385.369,42.0,102.386,451.698,90.019,91.946,1329.131,187.51,1181.004
68a9cd4637bac44f68cb9f78,C_6191,alive,2002,144.846,30.224,8.266,-10.847,0.0,-17.919,23.373,216.6931,102.747,189.571,0.0,-19.113,72.523,71.479,-664.583,102.747,71.706,113.594
68a9cd4637bac44f68caeb79,C_988,alive,2013,107.566,109.062,9.179,17.735,44.736,6.34,29.869,229.7045,193.534,190.087,0.1,8.556,84.472,44.251,-134.671,193.534,49.877,175.799
68a9cd4637bac44f68cac2eb,C_114,alive,2003,5.566,7.756,0.279,1.32,3.447,1.664,0.886,9.4962,11.411,7.962,1.972,1.041,3.655,1.018,3.143,11.411,3.165,10.091
68a9cd4737bac44f68cbc34d,C_7224,failed,2011,164.373,1151.995,50.72,83.62,30.481,-31.478,29.899,15.6563,1235.615,1475.416,720.553,32.9,83.62,262.863,30.637,1235.615,1385.747,1151.995
68a9cd4737bac44f68cbc829,C_7368,alive,2008,141.664,609.923,12.722,33.335,0.076,-155.605,85.056,18.6224,691.67,365.663,223.594,20.613,81.747,90.207,-127.703,691.67,327.772,658.335
68a9cd4637bac44f68cb3325,C_2909,failed,2000,772.5,901.2,47.5,304.7,120.3,173.8,285.3,4050.648,2553.7,1758.8,0.0,257.2,1652.5,904.4,1137.6,2553.7,1254.5,2249.0
68a9cd4637bac44f68cad54a,C_501,alive,2000,484.928,444.69,133.64,133.66,133.387,-171.817,215.067,1145.718,1167.815,1343.14,1056.383,0.02,723.125,306.981,-792.981,1167.815,1424.117,1034.155
68a9cd4637bac44f68cb20f8,C_2240,failed,2010,300.287,645.968,133.404,382.14,33.322,36.273,204.994,396.7772,1375.232,3136.359,1703.339,248.736,729.264,267.285,-1993.889,1375.232,2917.014,993.092
68a9cd4637bac44f68cb738a,C_4910,alive,2013,16.82,11.265,0.107,-0.784,0.0,9.711,4.818,53.7204,10.481,18.423,0.0,-0.891,-0.784,10.846,-300.417,10.481,12.663,11.265
68a9cd4637bac44f68cb6025,C_4318,alive,2010,1404.1,5621.5,197.1,136.0,448.7,-128.9,482.8,1800.4872,5968.3,4188.6,650.6,-61.1,346.8,844.5,-1095.8,5968.3,3547.5,5832.3
68a9cd4637bac44f68cba1c2,C_6261,alive,2007,12.159,5.508,0.247,0.293,0.0,1.012,5.423,87.812,5.801,14.995,0.0,0.046,0.293,3.556,-35.295,5.801,3.556,5.508
68a9cd4637bac44f68caf711,C_1219,alive,2012,4832.6,573.1,98.2,1003.0,0.0,569.0,165.8,13603.842,2326.2,6163.7,0.0,904.8,1753.1,4268.2,1110.5,2326.2,4390.0,1323.2
68a9cd4637bac44f68cb887a,C_5502,alive,2006,1346.388,2817.1,27.069,174.438,0.0,116.968,590.142,2623.7378,3125.307,1835.01,0.0,147.369,308.207,1187.758,280.614,3125.307,1286.985,2950.869
68a9cd4637bac44f68cb44d7,C_3490,alive,2000,0.186,0.401,0.004,0.242,0.0,0.087,0.008,5.5372,0.643,0.203,0.0,0.238,0.242,0.079,-12.408,0.643,0.079,0.401
68a9cd4637bac44f68cac33c,C_120,alive,2002,586.4,571.6,89.1,297.3,118.2,103.0,351.7,1377.81,868.9,3742.0,994.2,208.2,297.3,1015.8,230.6,868.9,3031.9,571.6
68a9cd4637bac44f68cadd91,C_684,alive,2002,1561.957,1105.528,41.43,94.18,0.0,18.255,1109.029,780.9858,1199.708,2073.839,128.025,52.75,94.18,1656.78,165.132,1199.708,1863.705,1105.528
68a9cd4637bac44f68cba5a2,C_6368,alive,2002,577.057,2735.006,19.767,96.392,338.781,23.123,208.273,247.621,3325.78,1015.118,412.196,76.625,590.774,398.475,-368.285,3325.78,845.83,3229.388
